SIG_PROCEDENCIA,DSC_ASSUNTO_COMPLETO,count(ASSUNTO_PROCESSO.SEQ_ASSUNTO_PROCESSO)
***,"DIREITO PENAL | CRIMES PRATICADOS POR PARTICULAR CONTRA A ADMINISTRAçãO EM GERAL | DESACATO  ",1
***,"DIREITO PENAL | CRIMES PREVISTOS NA LEGISLAçãO EXTRAVAGANTE | CRIMES CONTRA A ORDEM ECONôMICA ",4
***,"DIREITO PENAL | CRIMES PREVISTOS NA LEGISLAçãO EXTRAVAGANTE | CRIMES DE ""LAVAGEM"" OU OCULTAçãO DE BENS, DIREITOS OU VALORES",1
***,"DIREITO PENAL | CRIMES PREVISTOS NA LEGISLAçãO EXTRAVAGANTE | CRIMES DE IMPRENSA ",1
***,"DIREITO PENAL | CRIMES PREVISTOS NA LEGISLAçãO EXTRAVAGANTE | CRIMES ELEITORAIS ",26
***,"DIREITO PENAL | CRIMES PREVISTOS NA LEGISLAçãO EXTRAVAGANTE | CRIMES ELEITORAIS | CAPTAçãO ILíCITA DE VOTOS OU CORRUPçãO ELEITORAL ",2
***,"DIREITO PENAL | CRIMES PREVISTOS NA LEGISLAçãO EXTRAVAGANTE | CRIMES ELEITORAIS | USO DE DOCUMENTO FALSO ",1
***,"DIREITO PENAL | CRIMES PREVISTOS NA LEGISLAçãO EXTRAVAGANTE | CRIMES MILITARES ",1
***,"DIREITO PENAL | PARTE GERAL | APLICAçãO DA PENA ",39
***,"DIREITO PENAL | PARTE GERAL | APLICAçãO DA PENA | REGIME INICIAL ",29
***,"DIREITO PENAL | PARTE GERAL | EXTINçãO DA PUNIBILIDADE ",4
***,"DIREITO PENAL | PARTE GERAL | EXTINçãO DA PUNIBILIDADE | INDULTO ",1
***,"DIREITO PENAL | PARTE GERAL | EXTINçãO DA PUNIBILIDADE | PRESCRIçãO ",30
***,"DIREITO PREVIDENCIÁRIO | BENEFíCIOS EM ESPéCIE ",2
***,"DIREITO PREVIDENCIÁRIO | BENEFíCIOS EM ESPéCIE | APOSENTADORIA POR INVALIDEZ ",1
***,"DIREITO PREVIDENCIÁRIO | BENEFíCIOS EM ESPéCIE | PENSãO POR MORTE (ART. 74/9) ",1
***,"DIREITO PREVIDENCIÁRIO | PEDIDOS GENéRICOS RELATIVOS AOS BENEFíCIOS EM ESPéCIE | REVISãO ",2
