LEXEM,FREQ
difer,108
caix,108
vag,107
tão-s,107
serviÇ,107
orientaçã,107
dout,107
salv,106
exteri,106
aquis,106
afet,106
ad,106
xv,105
situaçã,105
seil,105
revela-s,105
parâmetr,105
encontra-s,105
condenatór,105
concorr,105
cobr,105
advert,105
questõ,104
quaisqu,104
program,104
juril,104
indici,104
firmou-s,104
dirim,104
após,104
vint,103
razã,103
notad,103
explícit,103
competÊnc,103
autôn,103
sum,102
signif,102
rm,102
remuneratóri,102
prisã,102
perig,102
patrimôni,102
nível,102
jorn,102
front,102
exced,102
categor,102
ampar,102
vice-presid,101
popul,101
mat,101
insalubr,101
figur,101
exat,101
especific,101
constat,101
alç,101
époc,100
zer,100
urg,100
tampouc,100
sentença.,100
s.t.f,100
restabelec,100
perspec,100
inobserv,100
eg,100
constrang,100
acid,100
sucumb,99
relacion,99
público.,99
livr,99
fátic,99
confront,99
suspensÃ,98
publ,98
projet,98
decisão.,98
corr,98
cerce,98
através,98
aliás,98
xiv,97
uniform,97
objetiv,97
marg,97
extrad,97
dív,97
deleg,97
centr,97
ach,97
venh,96
subprocurador-ger,96
sistemá,96
satisfeit,96
quatr,96
não-conhec,96
liquid,96
inocorr,96
inclus,96
conson,96
volt,95
repercussã,95
leit,95
jurÍd,95
excess,95
diretriz,95
design,95
defend,95
cumul,95
correÇÃ,95
comunic,95
alus,95
ângul,94
urv,94
restitu,94
period,94
má-fé.,94
instruç,94
instituc,94
diferenci,94
defici,94
coment,94
apens,94
?,94
verd,93
proib,93
organiz,93
ocorrênc,93
j,93
cpi,93
base,93
violaÇÃ,92
soberan,92
senã,92
genér,92
evit,92
ediçã,92
culp,92
comunique-s,92
certidã,92
deriv,91
declaratór,91
conduz,91
auto-aplic,91
repet,90
proposit,90
long,90
expeça-s,90
destart,90
declin,90
atent,90
apes,90
uniã,89
tramit,89
saíd,89
referenc,89
probatóri,89
possível,89
nort,89
ipc,89
insuscet,89
dand,89
advocatíci,89
surg,88
sequ,88
proteç,88
isent,88
divis,88
celebr,88
agor,88
revest,87
reda,87
procurad,87
petiçã,87
permanent,87
pensã,87
medic,87
luiz,87
francisc,87
exceç,87
arrecad,87
suspensã,86
milhã,86
ltd,86
fez,86
cruz,86
clt,86
acarret,86
típic,85
satisf,85
reafirm,85
nega-s,85
ja,85
imprens,85
deposit,85
assum,85
arbitr,85
união.,84
tud,84
percepç,84
paut,84
inscr,84
human,84
expurg,84
complet,84
vislumbr,83
respond,83
pÚblico.,83
pronunci,83
previdenc,83
plenÁri,83
orç,83
igualdad,83
flagr,83
extraordinária.,83
descont,83
compos,83
ambient,83
proporcional,82
impertin,82
estrut,82
ctn,82
ação.,82
veícul,81
tip,81
sustenta-s,81
provoc,81
proporc,81
pressupõ,81
monet,81
insufici,81
fech,81
aquisi,81
vontad,80
vol,80
ventil,80
vari,80
transgress,80
sinte,80
magistrat,80
investid,80
inex,80
inequívoc,80
if,80
estabil,80
col,80
clar,80
ajust,80
telefôn,79
suprim,79
substabelec,79
paran,79
oriund,79
mostr,79
dez,79
defen,79
aproveit,79
super,78
repar,78
excels,78
entreg,78
contra-r,78
contempl,78
constituiÇÃo.,78
compõ,78
cf/88.,78
arc,78
transitór,77
restring,77
mantev,77
lúcia.,77
interpõ,77
incomplet,77
antôni,77
tão,76
transcrit,76
sindic,76
republic,76
redaçã,76
promoç,76
pequen,76
oit,76
obr,76
moed,76
internac,76
hoj,76
gerald,76
fazê-l,76
extraordinária.,76
asseg,76
anote-s,76
vend,75
trech,75
territóri,75
punibil,75
novent,75
invalid,75
imprescind,75
harmon,75
ameaç,75
transmiss,74
rondôn,74
puni,74
nasc,74
má,74
logradour,74
habeas-corpu,74
gross,74
desnecess,74
comet,74
anual,74
