ID,ANO,RELATOR,CLASSE
270,1533934,1996,MIN. MOREIRA ALVES,RE
271,1533942,1996,MIN. CARLOS VELLOSO,RE
272,1533960,1996,MIN. FRANCISCO REZEK,RE
273,1533969,1996,MIN. CELSO DE MELLO,RE
274,1533976,1996,MIN. MOREIRA ALVES,RE
275,1533991,1996,MIN. ILMAR GALVÃO,RE
276,1534059,1996,MIN. CELSO DE MELLO,AI
277,1534105,1996,MIN. MARCO AURÉLIO,RE
278,1534135,1996,MIN. SEPÚLVEDA PERTENCE,RE
279,1534143,1996,MIN. FRANCISCO REZEK,RE
280,1534167,1996,MIN. MOREIRA ALVES,RE
281,1534356,1996,MIN. CELSO DE MELLO,AI
282,1534423,1996,MIN. MOREIRA ALVES,RE
283,1534534,1996,MIN. CELSO DE MELLO,RE
284,1534623,1996,MIN. ILMAR GALVÃO,RE
285,1534689,1996,MIN. CARLOS VELLOSO,RE
286,1534786,1996,MIN. MOREIRA ALVES,RE
287,1534901,1996,MIN. SEPÚLVEDA PERTENCE,RMS
288,1535245,1996,MIN. ILMAR GALVÃO,RE
289,1535337,1996,MIN. CARLOS VELLOSO,AI
290,1535468,1996,MIN. NÉRI DA SILVEIRA,RE
291,1535488,1996,MIN. OCTAVIO GALLOTTI,RE
292,1535519,1996,MIN. CARLOS VELLOSO,RE
293,1535529,1996,MIN. MARCO AURÉLIO,RE
294,1535896,1996,MIN. CARLOS VELLOSO,RE
295,1536142,1996,MIN. ILMAR GALVÃO,RE
296,1536347,1996,MIN. CELSO DE MELLO,AI
297,1536371,1996,MIN. OCTAVIO GALLOTTI,RMS
298,1536436,1996,MIN. CARLOS VELLOSO,MS
299,1536463,1996,MIN. CARLOS VELLOSO,ADI
300,1536471,1996,MIN. MAURÍCIO CORRÊA,AI
301,1536518,1996,MIN. FRANCISCO REZEK,RE
302,1536599,1996,MIN. CARLOS VELLOSO,RE
303,1536630,1996,MIN. CELSO DE MELLO,RE
304,1536690,1996,MIN. OCTAVIO GALLOTTI,RMS
305,1536834,1996,MIN. OCTAVIO GALLOTTI,RE
306,1536869,1996,MIN. CELSO DE MELLO,AI
307,1536871,1996,MIN. CELSO DE MELLO,AI
308,1536949,1996,MIN. CARLOS VELLOSO,RE
309,1537131,1996,MIN. FRANCISCO REZEK,AI
310,1537159,1996,MIN. CARLOS VELLOSO,RE
311,1537226,1996,MIN. NÉRI DA SILVEIRA,ADI
312,1537234,1996,MIN. MOREIRA ALVES,RE
313,1537241,1996,MIN. ILMAR GALVÃO,RE
314,1537247,1996,MIN. ILMAR GALVÃO,RE
315,1537607,1996,MIN. PAULO BROSSARD,AI
316,1537616,1996,MIN. MAURÍCIO CORRÊA,RMS
317,1537706,1996,MIN. CELSO DE MELLO,RE
318,1537836,1996,MIN. MAURÍCIO CORRÊA,RE
319,1537914,1996,MIN. CELSO DE MELLO,RE
320,1538037,1996,MIN. CELSO DE MELLO,AI
321,1538155,1996,MIN. FRANCISCO REZEK,RE
322,1538231,1996,MIN. NELSON JOBIM,RE
323,1538322,1996,MIN. CARLOS VELLOSO,RE
324,1538343,1996,MIN. SEPÚLVEDA PERTENCE,RE
325,1538346,1996,MIN. NÉRI DA SILVEIRA,Pet
326,1538637,1996,MIN. MAURÍCIO CORRÊA,RMS
327,1538776,1996,MIN. NÉRI DA SILVEIRA,RE
328,1538995,1996,MIN. CARLOS VELLOSO,RE
329,1539014,1996,MIN. OCTAVIO GALLOTTI,RE
330,1539363,1996,MIN. PAULO BROSSARD,AI
331,1539392,1996,MIN. PAULO BROSSARD,AI
332,1539396,1996,MIN. CARLOS VELLOSO,AI
333,1539398,1996,MIN. CELSO DE MELLO,AI
334,1539582,1996,MIN. FRANCISCO REZEK,RE
335,1539589,1996,MIN. MAURÍCIO CORRÊA,RE
336,1539591,1996,MIN. MAURÍCIO CORRÊA,RE
337,1539650,1996,MIN. NELSON JOBIM,RE
338,1539712,1996,MIN. MAURÍCIO CORRÊA,RE
339,1539724,1996,MIN. NELSON JOBIM,RE
340,1539736,1996,MIN. FRANCISCO REZEK,RE
341,1539794,1996,MIN. MARCO AURÉLIO,RE
342,1539809,1996,MIN. CARLOS VELLOSO,RE
343,1539955,1996,MINISTRA PRESIDENTE,SE
344,1539993,1996,MIN. MOREIRA ALVES,Ext
345,1540044,1996,MIN. NÉRI DA SILVEIRA,AI
346,1540131,1996,MIN. PAULO BROSSARD,AI
347,1540184,1996,MIN. PAULO BROSSARD,RE
348,1540188,1996,MIN. CELSO DE MELLO,ADI
349,1540350,1996,MIN. CARLOS VELLOSO,RE
350,1540442,1996,MIN. CARLOS VELLOSO,RE
351,1540626,1996,MIN. OCTAVIO GALLOTTI,RE
352,1541245,1996,MIN. CELSO DE MELLO,AI
